"Month","Passengers","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","t","log_Passengers","t_square"
"Sep-99",237,0,0,0,0,0,0,0,0,1,0,0,0,57,5.46806014113513,3249
"Oct-99",211,0,0,0,0,0,0,0,0,0,1,0,0,58,5.35185813347607,3364
"Nov-99",180,0,0,0,0,0,0,0,0,0,0,1,0,59,5.19295685089021,3481
"Dec-99",201,0,0,0,0,0,0,0,0,0,0,0,1,60,5.30330490805908,3600
"Jan-00",204,1,0,0,0,0,0,0,0,0,0,0,0,61,5.31811999384422,3721
"Feb-00",188,0,1,0,0,0,0,0,0,0,0,0,0,62,5.23644196282995,3844
"Mar-00",235,0,0,1,0,0,0,0,0,0,0,0,0,63,5.45958551414416,3969
"Apr-00",227,0,0,0,1,0,0,0,0,0,0,0,0,64,5.4249500174814,4096
"May-00",234,0,0,0,0,1,0,0,0,0,0,0,0,65,5.4553211153577,4225
"Jun-00",264,0,0,0,0,0,1,0,0,0,0,0,0,66,5.57594910314632,4356
"Jul-00",302,0,0,0,0,0,0,1,0,0,0,0,0,67,5.71042701737487,4489
"Aug-00",293,0,0,0,0,0,0,0,1,0,0,0,0,68,5.68017260901707,4624
"Sep-00",259,0,0,0,0,0,0,0,0,1,0,0,0,69,5.55682806169954,4761
"Oct-00",229,0,0,0,0,0,0,0,0,0,1,0,0,70,5.43372200355424,4900
"Nov-00",203,0,0,0,0,0,0,0,0,0,0,1,0,71,5.31320597904179,5041
"Dec-00",229,0,0,0,0,0,0,0,0,0,0,0,1,72,5.43372200355424,5184
"Jan-01",242,1,0,0,0,0,0,0,0,0,0,0,0,73,5.48893772615669,5329
"Feb-01",233,0,1,0,0,0,0,0,0,0,0,0,0,74,5.4510384535657,5476
"Mar-01",267,0,0,1,0,0,0,0,0,0,0,0,0,75,5.58724865840025,5625
"Apr-01",269,0,0,0,1,0,0,0,0,0,0,0,0,76,5.59471137960184,5776
"May-01",270,0,0,0,0,1,0,0,0,0,0,0,0,77,5.59842195899838,5929
"Jun-01",315,0,0,0,0,0,1,0,0,0,0,0,0,78,5.75257263882563,6084
"Jul-01",364,0,0,0,0,0,0,1,0,0,0,0,0,79,5.89715386763674,6241
"Aug-01",347,0,0,0,0,0,0,0,1,0,0,0,0,80,5.84932477994686,6400
"Sep-01",312,0,0,0,0,0,0,0,0,1,0,0,0,81,5.74300318780948,6561
"Oct-01",274,0,0,0,0,0,0,0,0,0,1,0,0,82,5.61312810638807,6724
"Nov-01",237,0,0,0,0,0,0,0,0,0,0,1,0,83,5.46806014113513,6889
"Dec-01",278,0,0,0,0,0,0,0,0,0,0,0,1,84,5.62762111369064,7056
"Jan-02",284,1,0,0,0,0,0,0,0,0,0,0,0,85,5.64897423816121,7225
"Feb-02",277,0,1,0,0,0,0,0,0,0,0,0,0,86,5.62401750618734,7396
"Mar-02",317,0,0,1,0,0,0,0,0,0,0,0,0,87,5.75890177387728,7569
"Apr-02",313,0,0,0,1,0,0,0,0,0,0,0,0,88,5.74620319054015,7744
"May-02",318,0,0,0,0,1,0,0,0,0,0,0,0,89,5.76205138278018,7921
"Jun-02",374,0,0,0,0,0,1,0,0,0,0,0,0,90,5.92425579741453,8100
"Jul-02",413,0,0,0,0,0,0,1,0,0,0,0,0,91,6.02344759296103,8281
"Aug-02",405,0,0,0,0,0,0,0,1,0,0,0,0,92,6.00388706710654,8464
"Sep-02",355,0,0,0,0,0,0,0,0,1,0,0,0,93,5.87211778947542,8649
"Oct-02",306,0,0,0,0,0,0,0,0,0,1,0,0,94,5.72358510195238,8836
"Nov-02",271,0,0,0,0,0,0,0,0,0,0,1,0,95,5.6021188208797,9025
"Dec-02",306,0,0,0,0,0,0,0,0,0,0,0,1,96,5.72358510195238,9216
